Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/xsw/spark-work/kubernetes-client/platforms/karaf/itests/target/exam/5de20d6d-d430-4db9-858f-02479199e838/lock
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2019-12-31T14:10:15,173 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.jaas.config/4.2.2
2019-12-31T14:10:15,195 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.jaas.modules/4.2.2
2019-12-31T14:10:15,213 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.sshd.core/1.7.0
2019-12-31T14:10:15,219 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.shell.ssh/4.2.2
2019-12-31T14:10:15,489 | INFO  | features-3-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Command registration delayed for bundle org.apache.karaf.shell.ssh/4.2.2. Missing dependencies: [org.apache.sshd.server.SshServer]
2019-12-31T14:10:15,494 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.config.core/4.2.2
2019-12-31T14:10:15,516 | INFO  | features-3-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.config.core/4.2.2
2019-12-31T14:10:15,597 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.log.core/4.2.2
2019-12-31T14:10:15,624 | INFO  | features-3-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Command registration delayed for bundle org.apache.karaf.log.core/4.2.2. Missing dependencies: [org.apache.karaf.log.core.LogEventFormatter, org.apache.karaf.log.core.LogService]
2019-12-31T14:10:15,631 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.features.command/4.2.2
2019-12-31T14:10:15,689 | INFO  | activator-1-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.log.core/4.2.2
2019-12-31T14:10:15,696 | INFO  | features-3-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.features.command/4.2.2
2019-12-31T14:10:15,717 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   org.apache.karaf.jaas.command/4.2.2
2019-12-31T14:10:15,764 | INFO  | features-3-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Registering commands for bundle org.apache.karaf.jaas.command/4.2.2
2019-12-31T14:10:15,765 | INFO  | features-3-thread-1 | CommandExtension                 | 32 - org.apache.karaf.shell.core - 4.2.2 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.2
